Image,Score
atardecer.jpeg,0.6210161864779449
aurora_boreal.jpg,0.9397269911124517
autos_carretera.jpg,0.6524958072306289
avion.jpg,0.38393527941994265
bosque.jpg,0.6674954466196804
calle_concurrida.jpg,0.6323814543167681
cascada.jpg,0.8443980642634696
ciudad.jpg,0.759404509260614
cueva.jpg,0.5900916398339894
edificio_perspectiva.jpg,0.5300855987601687
flores.jpg,0.349293076555369
fractal_cantor_set.jpg,1.1744610381467693
fractal_dragon_curve.jpg,0.8088859945413933
fractal_heighway_dragon.png,1.8429299672692512
fractal_hilbert_curve.png,
fractal_julia.jpg,0.8692195608773983
fractal_koch.jpg,1.6042958260613487
fractal_levy_c_curve.png,1.5268973152174046
fractal_mandelbrot.jpg,0.7598005009590867
fractal_peano_curve.png,
fractal_pythagoras_tree.png,1.2868745763612455
fractal_sierpinski.png,1.1001721661733384
fractal_vicsek.png,0.9318779648991397
fuegos_artificiales.jpg,0.850910808572455
galaxia.jpg,1.0261814665127986
lago.jpg,0.5005352864243555
nebulosa.jpg,1.272190268610328
nubes.jpg,1.3105017263060263
oceano_profundo.jpg,0.8367061097797979
paisaje_montañoso.jpg,0.5922061397209664
persona_corriendo.png,1.0709822695271536
playa.jpg,1.2507112191917964
rio.jpg,0.6232544986512774
sistema_solar.jpg,0.7041715179141619
tormenta_electrica.jpg,0.5209455991226374
tren_movimiento.jpg,0.8421249102558235
