Image,Area,1,2,3,4,5,6,7,8,9,10,11,12
atardecer.jpeg,3.2719540000000005,0.089595,0.144721,0.185614,0.223467,0.267935,0.289846,0.32618,0.342105,0.382825,0.432866,0.440553,0.382089
aurora_boreal.jpg,3.693651,0.119664,0.18906,0.246793,0.276349,0.307881,0.365825,0.37911,0.394888,0.4006,0.44239,0.395044,0.471758
autos_carretera.jpg,3.2024875,0.386154,0.427439,0.415938,0.382942,0.355061,0.321919,0.290194,0.225014,0.203285,0.162249,0.150378,0.149983
avion.jpg,1.4985745000000001,0.043474,0.068496,0.089209,0.103391,0.113003,0.136385,0.151649,0.167384,0.168661,0.180958,0.197552,0.200299
bosque.jpg,3.8655054999999994,0.272351,0.320108,0.327662,0.332983,0.351968,0.342463,0.342653,0.370056,0.366528,0.389972,0.380791,0.408292
calle_concurrida.jpg,3.2746899999999997,0.24715,0.287603,0.286188,0.276698,0.277414,0.294863,0.271813,0.311237,0.310515,0.306431,0.338994,0.378718
cascada.jpg,3.6090089999999995,0.11882,0.179048,0.22479,0.251896,0.278897,0.335368,0.353691,0.379013,0.39547,0.420783,0.480396,0.500494
ciudad.jpg,3.3018605,0.44786,0.502945,0.451249,0.394134,0.345143,0.301427,0.243553,0.246583,0.192844,0.167953,0.161685,0.140829
cueva.jpg,3.6980964999999997,0.359249,0.37961,0.369769,0.359724,0.359267,0.354612,0.312505,0.332235,0.307153,0.275853,0.336387,0.262714
edificio_perspectiva.jpg,2.7281150000000007,0.304534,0.343516,0.300157,0.295877,0.258846,0.247911,0.241307,0.203323,0.220179,0.184542,0.19372,0.17294
flores.jpg,2.7719154999999995,0.090966,0.122951,0.147968,0.17371,0.199906,0.242122,0.268201,0.31528,0.321413,0.338393,0.387108,0.418761
fractal_cantor_set.jpg,9.385836999999999,0.740162,0.736789,0.901865,0.819806,0.745134,0.77604,0.823292,0.866392,0.833952,0.796814,1.397103,0.637138
fractal_dragon_curve.jpg,3.505947,0.172714,0.23656,0.285267,0.310595,0.339317,0.370711,0.349647,0.346073,0.336173,0.330551,0.336219,0.356954
fractal_heighway_dragon.png,11.368418000000002,0.35515,0.589403,0.733604,0.849921,0.997459,1.066887,1.168805,1.186949,1.177048,1.401493,1.330738,1.377072
