Image,Area,1,2,3,4,5,6,7,8,9,10,11,12
atardecer.jpeg,9.017207,0.268638,0.419549,0.524872,0.625588,0.733166,0.789342,0.89594,0.945157,1.025561,1.167321,1.198664,1.115456
aurora_boreal.jpg,12.3011165,0.352179,0.546601,0.718065,0.845371,0.959541,1.100128,1.246315,1.31246,1.381384,1.66683,1.442188,1.812288
autos_carretera.jpg,13.539034500000001,1.170835,1.410025,1.528175,1.531844,1.4733,1.378373,1.261782,1.168704,1.044054,0.863135,0.894967,0.798516
avion.jpg,4.930046,0.11899,0.18696,0.252771,0.312705,0.365511,0.459336,0.518677,0.56333,0.634448,0.651389,0.628177,0.594494
bosque.jpg,13.588164500000001,0.86905,1.075745,1.140424,1.160764,1.244499,1.178673,1.239045,1.373856,1.366543,1.346298,1.410501,1.234583
calle_concurrida.jpg,12.1841495,0.804677,0.995472,1.067623,1.083119,1.100124,1.179506,0.954823,1.170433,1.118303,1.148602,1.208238,1.511136
cascada.jpg,10.801862999999999,0.361695,0.531985,0.661202,0.737233,0.851737,0.971592,1.060513,1.10493,1.206246,1.249948,1.395778,1.699703
ciudad.jpg,13.4517935,1.452699,1.742141,1.731331,1.611893,1.409872,1.363379,1.118865,1.190176,0.821222,0.672524,0.707514,0.713054
cueva.jpg,14.507803,1.156528,1.310354,1.315567,1.353312,1.378359,1.459521,1.287762,1.327681,1.353486,1.192348,1.329807,1.242684
edificio_perspectiva.jpg,9.801997,0.927669,1.15204,1.15307,1.154434,0.997748,0.983587,0.901147,0.649278,0.826279,0.655441,0.636168,0.457941
flores.jpg,5.5302655,0.260256,0.323245,0.35311,0.390032,0.439293,0.51764,0.539844,0.67885,0.549534,0.604627,0.694017,0.619891
fractal_cantor_set.jpg,21.729776,1.52293,1.600347,1.707998,2.270253,2.122912,1.662449,2.083196,1.98682,2.150208,2.448978,1.598799,2.672702
fractal_dragon_curve.jpg,11.222463000000001,0.363603,0.526678,0.684442,0.796432,0.933284,1.073224,1.100456,1.120514,1.323813,1.367385,1.346905,1.535057
fractal_heighway_dragon.png,21.6786585,0.454081,0.7691,1.044116,1.369984,1.56863,1.915403,2.094904,2.397534,2.376545,2.51454,3.503077,3.79557
fractal_hilbert_curve.png,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
fractal_julia.jpg,16.302594499999998,0.690789,1.062531,1.418546,1.626504,1.762757,1.809489,1.811626,1.594687,1.858289,1.221166,1.183647,1.215916
fractal_koch.jpg,20.5457635,0.343008,0.620032,0.997216,1.250708,1.457119,1.753455,2.045711,2.352589,2.679923,2.745863,2.998413,2.946461
fractal_levy_c_curve.png,21.902514999999998,0.490007,0.803127,1.173152,1.526873,1.885953,2.24828,2.530053,2.389427,2.546629,2.646585,2.663528,2.487809
fractal_mandelbrot.jpg,9.268371,0.214457,0.314101,0.443653,0.56936,0.640585,0.804794,0.901885,1.052493,1.174828,1.211949,1.407597,1.279795
fractal_peano_curve.png,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
fractal_pythagoras_tree.png,21.442935,0.793339,1.232586,1.733245,1.919316,2.02848,2.418842,2.054674,1.901199,2.134377,2.053666,2.575562,1.988637
fractal_sierpinski.png,12.590614500000001,0.22373,0.403606,0.577141,0.751193,0.937609,1.075633,1.280262,1.401093,1.598563,1.711941,1.763936,1.955545
fractal_vicsek.png,10.9061185,0.204589,0.385104,0.536974,0.752618,0.872338,1.003831,1.086297,1.165674,1.119697,1.344836,1.686622,1.699666
fuegos_artificiales.jpg,12.680492000000001,0.64861,0.682686,0.737098,0.828485,0.963625,1.060491,1.161309,1.330087,1.44128,1.544029,1.718235,1.777724
galaxia.jpg,11.187866499999998,0.153605,0.268906,0.408491,0.53821,0.703264,0.923197,1.093166,1.294073,1.467568,1.60444,1.824007,1.971484
lago.jpg,7.233274499999999,0.286088,0.413354,0.490149,0.538596,0.576092,0.622335,0.678752,0.72059,0.840031,0.788841,0.952901,0.937179
nebulosa.jpg,14.233321499999999,0.246102,0.39308,0.550839,0.705033,0.89677,1.261567,1.419686,1.711188,1.798222,2.010754,2.184128,2.358007
nubes.jpg,18.468581,0.498451,0.737761,0.972742,1.218917,1.419407,1.705017,1.924387,2.065494,2.305344,2.219166,2.482133,2.337975
